id_number,Title flag,movie_name,year, budget , domestic , international ,rating,storytype,source,production_method,genre,sequel,Release Date,Director,Director FB Like,Actor 1 Name,Actor 1 FB Like,Actor 2 Name,Actor 2 FB Like,Actor 3 Name,Actor 3 FB Like,Total Cast FB Like,Movie FB Like,IMDB Score,directors_avg_bo,actor_1_avg_bo,actor_2_avg_bo,actor_3_avg_bo
140050100,0,Red,2010,60000000,90380162,106059531.00,PG-13,Contemporary Fiction,Graphic Novel/Game,Live Action,Action,0,2008-10-07,Robert Schwentke,124,Bruce Willis,13000,Morgan Freeman,11000,Jaqueline Fleming,357,24928,32000,7.1,125949502,148668982.8,251062110.2,196439693
114370100,0,Red Dawn,2010,65000000,44806783,3357367.00,PG-13,Contemporary Fiction,Remake,Live Action,Action,0, ,John Milius,468,Lea Thompson,1000,Jennifer Grey,1000,William Smith,919,3860,0,6.4,55760141.5,34466679.5,48164150,55760141.5
143840100,0,Red Riding Hood,2010,42000000,37662162,54016280.00,PG-13,Fantasy,Fiction Book/Short Story,Live Action,Thriller/Suspense,0,2011-03-11,Catherine Hardwicke,308,Gary Oldman,10000,Billy Burke,2000,Virginia Madsen,913,15369,20000,5.4,180089415,241813574.3,61790325.33,51782253.25
111180100,0,Remember Me,2010,16000000,19068240,37437880.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,2010-03-12,Allen Coulter,47,Robert Pattinson,21000,Lena Olin,541,Ruby Jerins,238,22088,24000,7.2,56506120,501984065.4,56506120,56506120
111950100,0,Repo Men,2010,32000000,13942007,4253231.00,R,Science Fiction,Fiction Book/Short Story,Live Action,Action,0,2010-03-18,Miguel Sapochnik,238,Alice Braga,1000,RZA,561,Yvette Nicole Brown,447,2925,12000,6.3,18195238,254288600.5,110873375.7,70204161.5
111610100,0,Resident Evil: Afterlife,2010,57500000,60128566,235745624.00,R,Science Fiction,Graphic Novel/Game,Live Action,Horror,1,2010-09-09,Paul W.S. Anderson,545,Milla Jovovich,14000,Boris Kodjoe,1000,Shawn Roberts,529,16098,19000,5.9,171135790.4,98430908.4,179451014.5,156128364
117590100,0,Robin Hood,2010,210000000,105269730,216971858.00,PG-13,Historical Fiction,Fiction Book/Short Story,Live Action,Action,0,2010-05-12,Ridley Scott,0,Mark Addy,891,William Hurt,882,Scott Grimes,738,3244,17000,6.7,269558962,110910034,136385329.8,322241588
109080100,0,Salt,2010,130000000,118311368,172339126.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,2010-07-21,Phillip Noyce,176,Angelina Jolie Pitt,11000,Andre Braugher,702,August Diehl,282,12406,23000,6.4,117174355.3,362238441.3,236162655.5,290650494
139890100,1,Sammy's avonturen: De geheime doorgang,2010,25000000,,71594792.00,PG,Kids Fiction,Original Screenplay,Animation,Adventure,0, , , , , , , , , , , , , ,,,
139020100,0,Sanctum,2010,30000000,23209310,81074443.00,R,Dramatization,Factual Book/Real Events,Live Action,Adventure,0,2011-02-03,Alister Grierson,24,Ioan Gruffudd,2000,Rhys Wakefield,942,Richard Roxburgh,653,3892,11000,5.9,104283753,285717456.5,69500963,122000235
135950100,0,Saw 3D,2010,17000000,45710178,88025106.00,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1, , , , , , , , , , , , , ,,,
137510100,0,Scott Pilgrim vs. The World,2010,85000000,31611316,16445448.00,PG-13,Contemporary Fiction,Graphic Novel/Game,Live Action,Comedy,0,2010-07-27,Edgar Wright,1000,Anna Kendrick,10000,Kieran Culkin,1000,Ellen Wong,719,12687,36000,7.5,59102629,221659197.5,24340028,48056764
140980100,0,Scream 4,2010,40000000,38180928,57808662.00,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,2011-04-11,Wes Craven,0,Alison Brie,2000,Aimee Teegarden,741,Shenae Grimes-Beech,687,4486,26000,6.2,76815560.33,164290036.4,95989590,95989590
111290100,0,Season of the Witch,2010,40000000,24827228,66299372.00,PG-13,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0,2011-01-07, , , , , , , , , , , , ,,,
110150100,0,Secretariat,2010,35000000,59699513,676734.00,PG,Dramatization,Factual Book/Real Events,Live Action,Drama,0,2010-08-20,Randall Wallace,130,Scott Glenn,826,Kevin Connolly,638,Dylan Walsh,426,2259,0,7.2,80647679,100539788.6,53300786.5,63624790
104560100,0,Sex and the City 2,2010,95000000,95347692,199333086.00,R,Contemporary Fiction,TV,Live Action,Comedy,1,2010-05-26,Michael Patrick King,127,Chris Noth,962,Liza Minnelli,740,Kristin Davis,722,4555,0,4.3,294680778,236679060,294680778,257529638
120790100,0,Shanghai,2010,50000000,46425,15459497.00,R,Historical Fiction,Original Screenplay,Live Action,Drama,0,2010-06-10, , , , , , , , , , , , ,,,
